бац межд.; предик.
абза́ц м 5a
фо́рзац м 5a
эрза́ц м 5a
пала́ц м 5a
плац м 5a, П2(на)
матра́ц м 5a [//__матра́с__]
гава́ец мо 5*a
парагва́ец мо 5*a
уругва́ец мо 5*a
нога́ец мо 5*a
мала́ец мо 5*a
яма́ец мо 5*a
дана́ец мо 5*a
нана́ец мо 5*a
кустана́ец мо 5*a
кита́ец мо 5*a
алта́ец мо 5*a
шанха́ец мо 5*a
урянха́ец мо 5*a
пенджа́бец мо 5*a
хле́бец м 5*a
гребе́ц мо 5*b
погребе́ц м 5*b
жеребе́ц мо 5*b
го́лбец м 5*a [//__голбе́ц__ м 5*b]
столбе́ц м 5*b
душегу́бец мо 5*a
зубе́ц м 5*b
трезу́бец м 5*a
двузу́бец м 5*a
голубе́ц м 5*b
рубе́ц м 5*b
рыбе́ц мо 5*b
жизнелю́бец мо 5*a
славолю́бец мо 5*a
правдолю́бец мо 5*a
свободолю́бец мо 5*a
народолю́бец мо 5*a
трудолю́бец мо 5*a
человеколю́бец мо 5*a
самолю́бец мо 5*a
празднолю́бец мо 5*a
женолю́бец мо 5*a
страннолю́бец мо 5*a
сребролю́бец мо 5*a
миролю́бец мо 5*a
властолю́бец мо 5*a
сластолю́бец мо 5*a
честолю́бец мо 5*a
корыстолю́бец мо 5*a
себялю́бец мо 5*a
плюга́вец мо 5*a
заимода́вец мо 5*a
продаве́ц мо 5*b
перепродаве́ц мо 5*b
кнѝгопрода́вец мо 5*a
христопрода́вец мо 5*a
мерза́вец мо 5*a
лука́вец мо 5*a
братисла́вец мо 5*a
яросла́вец мо 5*a
имясла́вец мо 5*a
скверна́вец мо 5*a
самоупра́вец мо 5*a
краса́вец мо 5*a
раскраса́вец мо 5*a
полта́вец мо 5*a
ста́вец м 5*a [//__ставе́ц__ м 5*b]
сеноста́вец мо 5*a [//__сеноста́вка__] (_животное_)
поставе́ц м 5*b
карача́евец мо 5*a
федосе́евец мо 5*a
иже́вец мо 5*a
вра́нгелевец мо 5*a
могилёвец мо 5*a
жене́вец мо 5*a
кишинёвец мо 5*a
метростро́евец мо 5*a
певе́ц мо 5*b
сладкопе́вец мо 5*a
псалмопе́вец мо 5*a
песнопе́вец мо 5*a
белодере́вец мо 5*a
краснодере́вец мо 5*a
севе́ц мо 5*b
петраше́вец мо 5*a
уби́вец мо 5*a
неради́вец мо 5*a
мальди́вец мо 5*a
живе́ц мо 5*b
сослужи́вец мо 5*a
брезгли́вец мо 5*a
брюзгли́вец мо 5*a
справедли́вец мо 5*a
стыдли́вец мо 5*a
гордели́вец мо 5*a
терпели́вец мо 5*a
сонли́вец мо 5*a
сопли́вец мо 5*a
сварли́вец мо 5*a
прозорли́вец мо 5*a
счастли́вец мо 5*a
несчастли́вец мо 5*a
ревни́вец мо 5*a
лени́вец мо 5*a
кровопи́вец мо 5*a
спеси́вец мо 5*a
стропти́вец мо 5*a
нечести́вец мо 5*a
ми́лостивец мо 5*a
учти́вец мо 5*a
вши́вец мо 5*a
парши́вец мо 5*a
тамбо́вец мо 5*a
черни́говец мо 5*a
торго́вец мо 5*a
работорго́вец мо 5*a
хлѐботорго́вец мо 5*a
ры̀боторго́вец мо 5*a
кнѝготорго́вец мо 5*a
вѝноторго́вец мо 5*a
лѐсоторго́вец мо 5*a
ско̀тоторго́вец мо 5*a
вдове́ц мо 5*b
торпе́довец мо 5*a
съе́здовец мо 5*a
бу́ндовец мо 5*a
мордо́вец мо 5*a
ору́довец мо 5*a
ва́зовец мо 5*a
кама́зовец мо 5*a
спецна́зовец мо 5*a
ву́зовец мо 5*a
вту́зовец мо 5*a
тю́зовец мо 5*a
опоя́зовец мо 5*a
спарта́ковец мо 5*a
рабфа́ковец мо 5*a
колча́ковец мо 5*a
кружко́вец мо 5*a
бе́рковец м 5*a
го́рьковец мо 5*a
лове́ц мо 5*b
петропа́вловец мо 5*a
уравни́ловец мо 5*a
корни́ловец мо 5*a
панфи́ловец мо 5*a
по́ловец мо 5*a
плове́ц мо 5*b
орло́вец мо 5*a
родосло́вец м 5*a
скверносло́вец мо 5*a
дина́мовец мо 5*a
нахи́мовец мо 5*a
дѐтдо́мовец мо 5*a
обко́мовец мо 5*a
завко́мовец мо 5*a
райко́мовец мо 5*a
исполко́мовец мо 5*a
горко́мовец мо 5*a
местко́мовец мо 5*a
ива́новец мо 5*a
гоминьда́новец мо 5*a
куклукскла́новец мо 5*a
атама́новец мо 5*a
стаха́новец мо 5*a
будённовец мо 5*a
постепе́новец мо 5*a
метрополите́новец мо 5*a
марте́новец мо 5*a
омо́новец мо 5*a
махно́вец мо 5*a
геста́повец мо 5*a
депо́вец мо 5*a
беглопопо́вец мо 5*a
беспопо́вец мо 5*a
ра́пповец мо 5*a
хаба́ровец мо 5*a
